TRACE_INDEX,TIMESTAMP,NumImages,ContextTokens,GeneratedTokens,SOURCE_ROW,ARRIVAL_OFFSET_S,INTER_ARRIVAL_S
0,2024-10-21T12:16:02.726Z,484,34827,47,837275,0.000000000,0.000000000
1,2024-10-21T12:16:02.829Z,1,2270,29,837276,0.102999926,0.102999926
2,2024-10-21T12:16:02.977Z,1,890,37,837277,0.250999928,0.148000002
3,2024-10-21T12:16:03.211Z,484,34827,43,837278,0.484999895,0.233999968
4,2024-10-21T12:16:03.461Z,1,1832,36,837279,0.734999895,0.250000000
5,2024-10-21T12:16:03.477Z,441,33722,51,837280,0.750999928,0.016000032
6,2024-10-21T12:16:03.713Z,9,3909,262,837281,0.986999750,0.235999823
7,2024-10-21T12:16:04.068Z,1,1810,28,837282,1.342000008,0.355000257
8,2024-10-21T12:16:04.225Z,0,975,128,837283,1.498999834,0.156999826
9,2024-10-21T12:16:04.225Z,1,1281,191,837284,1.498999834,0.000000000
10,2024-10-21T12:16:04.268Z,1,1837,29,837285,1.541999817,0.042999983
11,2024-10-21T12:16:04.464Z,0,820,72,837286,1.737999916,0.196000099
12,2024-10-21T12:16:04.709Z,4,3921,94,837287,1.982999802,0.244999886
13,2024-10-21T12:16:04.725Z,4,4104,89,837288,1.998999834,0.016000032
14,2024-10-21T12:16:04.816Z,1,1240,4,837289,2.089999914,0.091000080
15,2024-10-21T12:16:05.014Z,441,33722,60,837290,2.288000107,0.198000193
16,2024-10-21T12:16:05.018Z,0,243,229,837291,2.291999817,0.003999710
17,2024-10-21T12:16:05.333Z,16,4556,121,837292,2.606999874,0.315000057
18,2024-10-21T12:16:05.458Z,0,921,122,837293,2.731999874,0.125000000
19,2024-10-21T12:16:05.459Z,1,1139,115,837294,2.733000040,0.001000166
20,2024-10-21T12:16:05.475Z,1,1139,122,837295,2.749000072,0.016000032
21,2024-10-21T12:16:05.475Z,1,4200,128,837296,2.749000072,0.000000000
22,2024-10-21T12:16:05.515Z,1,2270,29,837297,2.789000034,0.039999962
