TRACE_INDEX,TIMESTAMP,NumImages,ContextTokens,GeneratedTokens,SOURCE_ROW,ARRIVAL_OFFSET_S,INTER_ARRIVAL_S
0,2024-10-21T12:16:01.098Z,529,35900,45,837267,0.000000000,0.000000000
1,2024-10-21T12:16:01.108Z,1,2270,29,837268,0.010000229,0.010000229
2,2024-10-21T12:16:01.108Z,9,3818,156,837269,0.010000229,0.000000000
3,2024-10-21T12:16:01.605Z,1,1168,77,837270,0.507000208,0.496999979
4,2024-10-21T12:16:01.859Z,1,1881,32,837271,0.761000156,0.253999949
5,2024-10-21T12:16:01.966Z,9,7248,294,837272,0.868000269,0.107000113
6,2024-10-21T12:16:01.977Z,1,1930,30,837273,0.879000187,0.010999918
7,2024-10-21T12:16:02.079Z,1,1422,33,837274,0.981000185,0.101999998
8,2024-10-21T12:16:02.726Z,484,34827,47,837275,1.628000259,0.647000074
9,2024-10-21T12:16:02.829Z,1,2270,29,837276,1.731000185,0.102999926
10,2024-10-21T12:16:02.977Z,1,890,37,837277,1.879000187,0.148000002
11,2024-10-21T12:16:03.211Z,484,34827,43,837278,2.113000154,0.233999968
12,2024-10-21T12:16:03.461Z,1,1832,36,837279,2.363000154,0.250000000
13,2024-10-21T12:16:03.477Z,441,33722,51,837280,2.379000187,0.016000032
14,2024-10-21T12:16:03.713Z,9,3909,262,837281,2.615000010,0.235999823
15,2024-10-21T12:16:04.068Z,1,1810,28,837282,2.970000267,0.355000257
16,2024-10-21T12:16:04.225Z,0,975,128,837283,3.127000093,0.156999826
17,2024-10-21T12:16:04.225Z,1,1281,191,837284,3.127000093,0.000000000
18,2024-10-21T12:16:04.268Z,1,1837,29,837285,3.170000076,0.042999983
19,2024-10-21T12:16:04.464Z,0,820,72,837286,3.366000175,0.196000099
20,2024-10-21T12:16:04.709Z,4,3921,94,837287,3.611000061,0.244999886
21,2024-10-21T12:16:04.725Z,4,4104,89,837288,3.627000093,0.016000032
22,2024-10-21T12:16:04.816Z,1,1240,4,837289,3.718000174,0.091000080
23,2024-10-21T12:16:05.014Z,441,33722,60,837290,3.916000366,0.198000193
24,2024-10-21T12:16:05.018Z,0,243,229,837291,3.920000076,0.003999710
25,2024-10-21T12:16:05.333Z,16,4556,121,837292,4.235000134,0.315000057
26,2024-10-21T12:16:05.458Z,0,921,122,837293,4.360000134,0.125000000
27,2024-10-21T12:16:05.459Z,1,1139,115,837294,4.361000299,0.001000166
28,2024-10-21T12:16:05.475Z,1,1139,122,837295,4.377000332,0.016000032
29,2024-10-21T12:16:05.475Z,1,4200,128,837296,4.377000332,0.000000000
30,2024-10-21T12:16:05.515Z,1,2270,29,837297,4.417000294,0.039999962
31,2024-10-21T12:16:05.816Z,49,11708,69,837298,4.718000174,0.300999880
32,2024-10-21T12:16:05.961Z,9,3845,119,837299,4.863000154,0.144999981
33,2024-10-21T12:16:06.263Z,9,3849,83,837300,5.165000200,0.302000046
34,2024-10-21T12:16:06.265Z,400,31512,54,837301,5.167000055,0.001999855
35,2024-10-21T12:16:06.296Z,1,2270,29,837302,5.198000193,0.031000137
36,2024-10-21T12:16:06.477Z,1,1260,198,837303,5.379000187,0.180999994
37,2024-10-21T12:16:06.838Z,0,617,324,837304,5.740000248,0.361000061
38,2024-10-21T12:16:06.850Z,16,5244,80,837305,5.752000093,0.011999846
39,2024-10-21T12:16:07.457Z,4,2682,344,837306,6.359000206,0.607000113
40,2024-10-21T12:16:07.515Z,0,1628,61,837307,6.417000294,0.058000088
41,2024-10-21T12:16:07.852Z,1,284,1,837308,6.754000187,0.336999893
42,2024-10-21T12:16:07.978Z,25,6949,237,837309,6.880000114,0.125999928
43,2024-10-21T12:16:07.978Z,1,1858,511,837310,6.880000114,0.000000000
44,2024-10-21T12:16:08.360Z,0,135,15,837311,7.262000084,0.381999969
45,2024-10-21T12:16:08.514Z,1,386,397,837312,7.416000128,0.154000044
46,2024-10-21T12:16:08.515Z,49,11708,126,837313,7.417000294,0.001000166
47,2024-10-21T12:16:08.587Z,1,1248,214,837314,7.489000320,0.072000027
48,2024-10-21T12:16:08.714Z,576,36838,826,837315,7.616000175,0.126999855
